ponto_id,rotulo_real,escore,ic95_lo,ic95_hi,variavel_principal,contribuicao_variavel_principal,dino_evidence_patch_id,model_version,regiao
recife_pos_0071_aa5a520fcd41b871,1,0.4741,0.3338,0.6257,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0072_bc6b43020b5f4a4d,1,0.4741,0.3338,0.6257,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0073_c100e8d644f0a6fe,1,0.3399,0.2398,0.4315,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0074_2236347bebf430ea,1,0.4741,0.3338,0.6257,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0075_c0ab4c7085725049,1,0.4741,0.3338,0.6257,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0076_49f1adac3c63301f,1,0.3134,0.1171,0.5633,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0077_c007ea6d88ccaf22,1,0.5228,0.3568,0.6827,rain_decay_index_api_chirps,-0.7503,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0078_d162b76a769abcf8,1,0.9466,0.859,0.9869,rain_decay_index_api_chirps,2.1909,REC_NEG_00013,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0079_e49590eb20f5d4ff,1,0.8124,0.653,0.9291,rain_decay_index_api_chirps,1.2811,REC_NEG_00001,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0080_c8d3049753e0ff61,1,0.9499,0.8477,0.9904,rain_decay_index_api_chirps,1.717,REC_00503,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0081_deee3775d227cf9b,1,0.3397,0.237,0.4511,rain_decay_index_api_chirps,-0.5968,REC_00528,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0082_5688553d382849fe,1,0.3415,0.2519,0.4283,rain_decay_index_api_chirps,-0.8488,REC_NEG_00003,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0083_d8976a472ea97dbd,1,0.3804,0.292,0.4641,rain_decay_index_api_chirps,-0.784,REC_NEG_00006,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0084_ca290aa7f072692d,1,0.5182,0.4219,0.6273,twi_dinf,-0.266,REC_00505,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0085_6feb31977a1ce484,1,0.4374,0.3554,0.5238,rain_decay_index_api_chirps,-0.3905,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0086_99d884002c7875a6,1,0.4374,0.3554,0.5238,rain_decay_index_api_chirps,-0.3905,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0087_67968daea0fa46b3,1,0.4374,0.3554,0.5238,rain_decay_index_api_chirps,-0.3905,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0088_75e9a9396514ea2a,1,0.4374,0.3554,0.5238,rain_decay_index_api_chirps,-0.3905,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0089_13f5993514be33d1,1,0.4374,0.3554,0.5238,rain_decay_index_api_chirps,-0.3905,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0090_1e10df15c7c5fba9,1,0.4374,0.3554,0.5238,rain_decay_index_api_chirps,-0.3905,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0091_e253eef88e4ea52a,1,0.4184,0.3523,0.4803,rain_decay_index_api_chirps,-0.3062,REC_NEG_00011,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0092_c75fed78ea1ea58d,1,0.8103,0.6997,0.9081,rain_decay_index_api_chirps,1.1972,REC_00528,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0093_6620fb99ed293305,1,0.692,0.5898,0.805,rain_decay_index_api_chirps,0.6218,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0094_2a6692c1ffce02d1,1,0.692,0.5898,0.805,rain_decay_index_api_chirps,0.6218,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0095_fee04401580e1889,1,0.692,0.5898,0.805,rain_decay_index_api_chirps,0.6218,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0096_e0113b1a9cca2492,1,0.692,0.5898,0.805,rain_decay_index_api_chirps,0.6218,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0097_f168e1dd75b8f091,1,0.692,0.5898,0.805,rain_decay_index_api_chirps,0.6218,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0098_a9665d58f696af6b,1,0.6233,0.348,0.8478,twi_dinf,0.5371,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0099_60ea8ba3ce6f0534,1,0.8796,0.7639,0.9615,rain_decay_index_api_chirps,1.597,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0100_885b904fa022ade3,1,0.7165,0.5656,0.8593,rain_decay_index_api_chirps,1.2272,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0101_ab4e9808340efd66,1,0.7482,0.6067,0.8804,rain_decay_index_api_chirps,0.8045,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0102_274240374c9aaebc,1,0.226,0.1246,0.3306,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0103_dc2b3973362c3d46,1,0.226,0.1246,0.3306,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0104_43c8448f630134d3,1,0.226,0.1246,0.3306,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0105_ff415dd47b316fe8,1,0.226,0.1246,0.3306,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0106_f66aae7626210185,1,0.4578,0.3453,0.5795,rain_decay_index_api_chirps,-0.8372,REC_NEG_00001,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0107_b5626bd3ddc43e56,1,0.3558,0.2026,0.5288,rain_decay_index_api_chirps,-0.8219,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0108_c83e0ae35998a189,1,0.415,0.3488,0.4738,rain_decay_index_api_chirps,-0.6707,REC_NEG_00001,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
