Tipo,Orgao,DataCriacao,Assunto,Subdivisao,Situacao,Logradouro,Bairro,Regional,DataResposta,Origem,source_year
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,03/05/2023,Drenagem,Alagamentos,Concluído,RUA MONSENHOR ISIDORO MIKOSZ,CACHOEIRA,Unidade Regional Boa Vista,04/05/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,27/03/2023,Drenagem,Alagamentos,Concluído,RUA WALDEMIRO DAVID GERONASSO,BOA VISTA,Unidade Regional Boa Vista,30/03/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,24/11/2023,Drenagem,Alagamentos,Concluído,RUA MARIA GUSSO SFORZA,PILARZINHO,Unidade Regional Boa Vista,24/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,22/11/2023,Drenagem,Alagamentos,Concluído,RUA AGOSTINHO ANGELO TREVISAN,UBERABA,Unidade Regional Cajuru,27/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/01/2023,Drenagem,Alagamentos,Concluído,Waldemar Orso,CAMPO DE SANTANA,Unidade Regional Tatuquara,05/04/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA MARIA GUSSO SFORZA,PILARZINHO,Unidade Regional Boa Vista,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,RUA DR FRANCISCO ALEXANDRE GUEDES CHAGAS,CAMPINA DO SIQUEIRA,Unidade Regional Santa Felicidade,28/11/2023,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,24/12/2023,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Concluído,Rua Vereadora Laís Peretti,TATUQUARA,Unidade Regional Tatuquara,25/12/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/01/2023,Drenagem,Alagamentos,Concluído,RUA SOLDADO HUDSON JAIR MENDES DE MORAES,CIDADE INDUSTRIAL,Unidade Regional CIC,25/01/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,Rua Paulo Turkiewicz,TARUMA,Unidade Regional Cajuru,27/11/2023,Portal,2023
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,26/10/2023,Drenagem,Alagamentos,Concluído,RUA ALFERES POLI,CENTRO,Unidade Regional Matriz,31/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/12/2023,Drenagem,Alagamentos,Concluído,Rua São Maximiliano Maria Kolbe,TATUQUARA,Unidade Regional Tatuquara,10/01/2024,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/10/2023,Drenagem,Alagamentos,Concluído,RUA FRANCISCO JOSÉ LOBO,SITIO CERCADO,Unidade Regional Bairro Novo,08/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA SERGIPE,GUAIRA,Unidade Regional Portao,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,12/05/2023,Drenagem,Alagamentos,Concluído,RUA PEDRO CRUZETTA,AUGUSTA,Unidade Regional CIC,15/05/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,22/11/2023,Drenagem,Alagamentos,Concluído,Alberico Flores Bueno,BAIRRO ALTO,Unidade Regional Boa Vista,06/05/2024,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,23/11/2023,Drenagem,Alagamentos,Concluído,Rua Professor Lycio Grein de Castro Vellozo,MERCES,Unidade Regional Matriz,07/12/2023,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,13/11/2023,Drenagem,Alagamentos,Concluído,Rua do Herval,CRISTO REI,Unidade Regional Matriz,14/11/2023,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,03/11/2023,Drenagem,Alagamentos,Concluído,RUA JOAQUIM DE FREITAS,BOQUEIRAO,Unidade Regional Boqueirao,28/11/2023,Telefone,2023
